,Title,Smiles
67,AT-687/PE27587,N#CC1=C(F)C=CC(S(=O)(=O)C2=C(\Cl)C3=C(\N=C/2)C(F)=CC=C3)=C1
68,AN-153/NB20267,CCOC1=CC=C(C2=CC=NC3=C2C(=O)NC(N2CCCC2)=N3)C=C1
69,AT-687/NB06791,CS(=O)(=O)N1CCN(/C2=C(S(=O)(=O)C3=CC=C(F)C(Cl)=C3)/C=N\C3=CC=C(C#N)C=C32)CC1
70,AT-225/NB31042,O=[N+]([O-])C1=CC=C2C(=C1)/N=C(/C1=CC=CC(OCCOCCOC3=CC=CC(/C4=N/C5=C(C=CC([N+](=O)[O-])=C5)C5=C4C=C([N+](=O)[O-])C=C5)=C3)=C1)C1=C2C=CC([N+](=O)[O-])=C1
71,AT-687/SK17413,CC1=C(NC(=O)C2CCN(C3=C(C#N)C=N/C4=C\C=C(F)/C=C\34)CC2)C=C(Cl)C=C1
72,AN-153/I289756,COC1=CC2=C(C=C1OC)/C(C1=CNC3=C1C=C(OC)C(OC)=C3)=N\C=C/2
73,AT-138/QI00262,FC1=C(N2CCN(C3=CC=CC=C3)CC2)N=C(N2CCOCC2)N=C1
74,AN-153/J107082,COC1=CC(C2=CC=NC3=C2C(=O)NC(N2CCCCC2)=N3)=CC=C1
75,AN-153/NB22715,CC1=CC2=C(C=C1)N=C(NC1=NC(C3=CN=C(N4CCOCC4)N=C3C)=CC(=O)N1)N=C2C
76,AQ-358/J254344,O=C1OC2=C(C=C(Cl)C=C2)C(C2=C\N=C3\C4=CC(Cl)=CC=C4OC\C3=C\2)=C1C1=CC=CC=C1
77,AT-138/QI00259,FC1=C(N2CCOCC2)N=C(NC2=CC=CC=C2)N=C1
78,AT-138/QI00742,O=C(CSC1=NC(N2CCCC2)=C(F)C=N1)NCC1=C\C=C2\OCO\C2=C\1
79,AT-687/NB06801,O=S(=O)(C1=CC=C(F)C(F)=C1)C1=C(\N2CCSCC2)C2=CC(F)=CC=C2/N=C\1
80,AT-358/LC03042,COC1=C(O)C=CC2=C1/C=N\C1=C2C=CC2=C1C=C1OCOC1=C2
81,AT-687/NB06818,CS(=O)(=O)N1CCN(/C2=C(S(=O)(=O)C3=CC=C(F)C(Cl)=C3)/C=N\C3=CC(F)=CC=C32)CC1
82,AT-687/SK17428,CCC1=CC=C(C2=NNC3=C2/C=N\C2=CC=C(C)C=C23)C=C1
83,AN-153/PE02156,CCOC1=CC=C(C2=CC=NC3=C2C(=O)NC(N2CCCCC2)=N3)C=C1
84,AT-687/NB06816,N#CC1=CC(S(=O)(=O)C2=C(\N3CCSCC3)C3=CC=C(F)C=C3/N=C\2)=CC=C1
