,Title,Smiles
91,G817-0245,O=C(c(c1ccccc11)cnc1N1CCOCC1)Nc(cc1)cc(Cl)c1F
92,L483-0739,CCOc(cc12)ccc2ncc(C#N)c1N(CC1)CCC1C(Nc(cc1)cc(F)c1F)=O
93,L331-0715,O=C(c1nc(N2CCCCCC2)c2oc(cccc3)c3c2n1)Nc(ccc(Cl)c1)c1F
94,4229-0098,CCCOc(cc1)ccc1-c1nc2ccccc2c(N(CC)CC)n1
95,3909-7945,Cc1cccc(-c2nc3ccccc3c(N3CCCCCC3)n2)c1
96,8011-4043,Oc1cc(-c2nc3ccc4ncccc4c3c(-c3ccccc3)c2)ccc1
97,L331-0345,O=C(c1nc(N2CCCCC2)c2oc(cccc3)c3c2n1)Nc(cc1)ccc1F
98,C053-0511,CCOC(c(cnc(c1ccc2)c2OC)c1N1CC(C)CC(C)C1)=O
99,L331-0654,O=C(c1nc(N2CCCCCC2)c2oc(cccc3)c3c2n1)Nc(cc1)ccc1F
100,CM2933-4392,CC1(COc2ccncc2)CN(Cc(c(F)ccc2)c2F)CCC1
101,K841-0196,CCCCN(CC)c1nc(-c(cccc2)c2F)nc2ccccc12
102,K669-0188,CC(CCC1)CN1c1nc(-c(cccc2)c2F)nc2ccccc12
103,CM2933-4435,CC1(COc2ccncc2)CN(Cc(ccc(F)c2)c2F)CCC1
104,8014-2314,COc1nc(-c2c(CC3)c4c(cccc5)c5ccc4nc2)c3c(-c2ccco2)c1C#N
105,IB05-6144,CCCCN(CC)c1c2sc3nc(-c4ccccc4)c(CCC4)c4c3c2nc(SC)n1
106,8006-2755,Oc(cc1)cc(O)c1-c1nc2ccc(cccc3)c3c2c2c1CCC2
107,2268-1391,[O-][N+](c(cc1)cc(-c2nc3ccc(cccc4)c4c3c3c2CCC3)c1O)=O
108,1661-1363,Oc1cc(-c2nc3ccc(cccc4)c4c3c3c2CCC3)ccc1
109,E939-0286,Fc1c(CN(CCC2)CN2c2c(c(-c(cc3)ccc3Cl)no3)c3ncn2)cccc1
110,IB03-5578,COc(cc1)cc2c1c(CCNC(C(CCC1)CN1c1c3[nH]cnc3nc(Cl)n1)=O)c[nH]2
111,G516-0043,CC(CCC1)CN1c1nc(-c(cc2)ccc2OC)nc2ccccc12
112,G516-0066,CCCCN(CC)c1nc(-c(cc2)ccc2OC)nc2ccccc12
113,8002-4828,Oc(ccc(Br)c1)c1-c1nc2ccc(cccc3)c3c2c2c1CCC2
114,L094-3489,O=C(C(CCC1)CN1c(c1c2)ncnc1nn2-c(cc1)ccc1F)NCc(ccc(F)c1)c1F
115,L094-3692,Cc(cc1)ccc1-n(cc12)nc2ncnc1N(CCC1)CC1C(NCc(ccc(F)c1)c1F)=O
116,L928-0406,O=C(C(CCC1)CN1c1ncnc2c1oc1c2cccc1)NCc(ccc(F)c1)c1F
117,4558-1727,CC(CC1)Cc2c1c1c(cccc3)c3ccc1nc2-c1cccc(O)c1
118,4558-1729,CC(CC1)Cc2c1c(-c1cccc(O)c1)nc1ccc(cccc3)c3c12
119,C350-0671,COc1cccc(-c(c2cnc3c(F)cc(F)cc3c22)nn2-c(cc2)ccc2F)c1
120,1661-1344,COc(cc1)cc(-c2nc3ccc(cccc4)c4c3c3c2CCCC3)c1OC
121,4593-2959,CC(C1)(C2)CC(C)(C)CC1N2c1nc(-c2cc(C)ccc2)nc2ccccc12
122,1661-1364,Oc1cc(-c2nc3ccc(cccc4)c4c3c3c2CCCC3)ccc1
123,C350-0829,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c(cc1)ccc1F
124,8013-9905,CC(CC1)Cc2c1c1c(cccc3)c3ccc1nc2-c(cc(cc1)Br)c1O
125,8013-9899,CC(CC1)Cc2c1c(-c(cc(cc1)Br)c1O)nc1ccc(cccc3)c3c12
126,CM2933-4408,CC1(COc2ccncc2)CN(Cc(ccc(Cl)c2)c2F)CCC1
127,4789-4706,CCOC(c(cnc1c(cccc2)c2ccc11)c1N1C(C2)CC(C)(C)CC2(C)C1)=O
128,C860-0997,COc(ccc(CCNC(C(CCC1)CN1c(ncnc12)c1sc1c2c(F)ccc1)=O)c1)c1OC
129,IB03-7469,COc(cc1)cc2c1[nH]cc2CCNC(C(CCC1)CN1c1c2[nH]cnc2nc(Cl)n1)=O
130,0820-0874,Oc(ccc(Br)c1)c1-c1nc2ccc(cccc3)c3c2c2c1CCCC2
131,G516-0074,CCOC(C(CCC1)CN1c1nc(-c(cc2)ccc2OC)nc2ccccc12)=O
132,IB08-5510,CSc1nc(N(CCO)Cc2ccccc2)c2sc3nc(-c4ccccc4)c(CCC4)c4c3c2n1
133,0820-0892,Oc(ccc(-c1nc2ccc(cccc3)c3c2c2c1CCC2)c1)c1O
134,V008-4958,CC(CCC1)CN1c1nc(-c2ccc(C)cc2)nc2ccccc12
135,Y041-2664,Nc1ncc(-c2ccccc2)c(-c(ccc(OCc(c(F)ccc2)c2Cl)c2)c2O)n1
136,3909-8322,CCCCN(CC)c1nc(-c2ccc(C)cc2)nc2ccccc12
137,G516-1252,CC(CCC1)CN1c1nc(-c(cc2)ccc2Cl)nc2ccccc12
138,C350-0435,CCc(cccc1)c1-n(c1c(cc(cc2F)F)c2ncc11)nc1-c1ccccc1
139,E899-0293,Cc1cc(CN(CCC2)CN2c2c(c(-c(cc3)ccc3F)no3)c3ncn2)c(C)cc1
140,C350-0808,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c1ccccc1
141,G516-0226,COc(cc1)ccc1-c1nc2ccccc2c(N(CC2)Cc3c2cccc3)n1
142,Y041-2571,Nc1ncc(-c(cc2)ccc2Cl)c(-c(ccc(OCc(c(F)ccc2)c2Cl)c2)c2O)n1
143,C200-5249,CCOc(cc1)ccc1-c1n[nH]c2c(cc(cc3)F)c3ncc12
144,Y041-2620,Cc1c(-c2ccccc2)c(-c(ccc(OCc(c(F)ccc2)c2Cl)c2)c2O)nc(N)n1
145,8020-1631,COc(ccc(-c1ccnc(N=C(N2)N(CC3)Cc4c3cccc4)c1C2=O)c1)c1OC
146,G516-1283,CCOC(C(CCC1)CN1c1nc(-c(cc2)ccc2Cl)nc2ccccc12)=O
147,C200-5255,CCOc(cc12)ccc1ncc1c2[nH]nc1-c(cc1)ccc1F
148,P891-0124,CCc1noc(-c2cccnc2N2CCN(Cc(c(F)ccc3)c3Cl)CCC2)n1
149,IB03-2372,CSc1nc(N(CCO)Cc2ccccc2)c2sc3nc(-c4ccco4)c(CCC4)c4c3c2n1
150,G516-0272,CCCCN(Cc1ccco1)c1nc(-c(cc2)ccc2OC)nc2ccccc12
151,L094-3415,COc1c(CNC(C(CCC2)CN2c(c2c3)ncnc2nn3-c(cc2)ccc2F)=O)cccc1
152,IB08-6082,CCCCN(C)c1c2sc3nc(-c4ccccc4)c(CCC4)c4c3c2nc(SC)n1
153,3570-0022,CC1CN(Cc(c(O2)c(cc3)C=C(c4nc(cccc5)c5[nH]4)C2=O)c3O)CCC1
154,3570-0329,CCC1N(Cc(c(O2)c(cc3)C=C(c4nc(cccc5)c5[nH]4)C2=O)c3O)CCCC1
155,Z250-1301,O=C(C(CCC1)CN1C(NC1=O)=Nc2c1scc2-c1ccccc1)NCc(ccc(F)c1)c1F
156,0820-0895,Oc(ccc(-c1nc2ccc(cccc3)c3c2c2c1CCCC2)c1)c1O
157,8012-9716,CC(CC1)Cc2c1c1c(cccc3)c3ccc1nc2-c(cc1)ccc1OCc(cccc1)c1F
158,C768-0079,CCOC(C(CCC1)CN1c1c(cc(cc2)F)c2ncc1C(c1ccccc1)=O)=O
159,C860-1045,COc1cccc(CNC(C(CCC2)CN2c(ncnc23)c2sc2c3c(F)ccc2)=O)c1
160,C350-0828,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c1ccc(C)cc1
161,Z250-1377,Cc(cc1)ccc1-c1csc(C(N2)=O)c1N=C2N(CCC1)CC1C(NCc(ccc(F)c1)c1F)=O
162,E945-0147,COc(cc1)cc(CNC(C(CCC2)CN2c2c(c(-c(cc3)ccc3F)no3)c3ncn2)=O)c1OC
163,P891-0192,CC(C)c1noc(-c2cccnc2N2CCN(Cc(c(F)ccc3)c3Cl)CCC2)n1
164,IB03-5324,O=C(C(CCC1)CN1c1c2[nH]cnc2nc(Cl)n1)NCCc1c[nH]c(cc2)c1cc2Cl
165,G786-1887,CC1CN(Cc(c(O2)c(cc3)C(C4=Cc5cccc(OC)c5OC4=O)=CC2=O)c3O)CCC1
166,C350-0826,CCOc(cc1)ccc1-c(c1c2c3cc(F)cc(F)c3nc1)nn2-c(cc1)ccc1Cl
167,4593-2689,CC(C1)(C2)CC(C)(C)CC1N2c1nc(-c2ccc(C)cc2)nc2ccccc12
168,G516-0269,COc(cc1)ccc1-c1nc2ccccc2c(N(CCCN2CCOCC2)Cc2ccco2)n1
169,Y041-2647,COc(cccc1)c1-c1cnc(N)nc1-c(ccc(OCc(c(F)ccc1)c1Cl)c1)c1O
170,1661-1313,CCOc(cc(cc1)-c2nc3ccc(cccc4)c4c3c3c2CCC3)c1O
171,4817-2931,CCCCN(CC1)c2c1c(N)c(cc(cc1)Br)c1n2
172,F360-0972,CCOc(ccc1ncc2C#N)cc1c2N(CC1)Cc2c1cccc2
173,2268-1394,COc(cc(cc1)-c2nc3ccc(cccc4)c4c3c3c2CCC3)c1O
174,8012-9715,Fc1c(COc(cc2)ccc2-c2nc3ccc(cccc4)c4c3c3c2CCCC3)cccc1
175,C350-0499,COc(cc1)ccc1-n(c1c(cc(cc2F)F)c2ncc11)nc1-c(cc1)ccc1F
176,SA93-0042,CC1(CN(Cc2c[nH]c(cc3)c2cc3OC)CCC1)C(N)=O
177,4358-4635,CCCCN(CC)c1nc(-c(cc2)ccc2[N+]([O-])=O)nc2ccccc12
178,C350-0827,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c1cc([N+]([O-])=O)ccc1
179,G516-0250,COc(cc1)ccc1-c1nc2ccccc2c(N(CC2)CC2c2ccccc2)n1
180,S896-0154,CC(CCC1)CN1c1nc(-c(cc2)ccc2OC)nc2c1CCOCC2
181,7706-1025,CCOC(c(cc12)ccc2nc(C(F)(F)F)nc1N(CC1)Cc2c1cccc2)=O
182,C350-0810,CCOc(cc1)ccc1-c(c1cnc2c(F)cc(F)cc2c11)nn1-c1cc(C)c(C)cc1
183,E130-0651,CC(CCC1)CN1c1nc(-c(cccc2)c2OC2)c2c(-c2cccc(Cl)c2)n1
184,E945-0130,CCOc1c(CNC(C(CCC2)CN2c2c(c(-c(cc3)ccc3F)no3)c3ncn2)=O)cccc1
185,4358-1634,CCCCN(C)c1nc(-c(ccc(Cl)c2)c2Cl)nc2ccccc12
186,E945-0015,COc(ccc(NC(C(CCC1)CN1c1c(c(-c(cc2)ccc2F)no2)c2ncn1)=O)c1)c1OC
187,8640-0590,CCCCN(CC)c1c2sc3nc(-c4ccccc4)c(COC(C)(C)C4)c4c3c2ncn1
188,G516-0229,CCN(CCN(C)C)c1nc(-c(cc2)ccc2OC)nc2ccccc12
189,8019-9781,CC(O1)=CC(O)=C(c2c(C(NC(N(CC3)Cc4c3cccc4)=N3)=O)c3ncc2)C1=O
190,Y041-2587,COc(cc1)ccc1Oc1cnc(N)nc1-c(ccc(OCc(cccc1)c1F)c1)c1O
191,4116-0077,CCc(c(c(c1c2)cc(OC)c2OC)c2nc1-c(cc(cc1)Br)c1O)nn2-c1ccccc1
192,E945-0031,COc1c(CNC(C(CCC2)CN2c2c(c(-c(cc3)ccc3F)no3)c3ncn2)=O)cccc1
193,5695-0637,CC(C1)(C2)CC(C)(C)CC1N2c1nc(-c2ccccc2)nc2ccccc12
194,C680-0859,CC(CCC1)CN1c1nc2c(-c3cc(F)ccc3)nnn2c(cc2)c1cc2Cl
195,C350-0859,Fc(cc1)ccc1-n(c(c1ccc2)c3cnc1c2F)nc3-c1cccc(Br)c1
196,E899-0277,Fc(cc1)ccc1-c1noc2c1c(N1CN(Cc(cccc3)c3Cl)CCC1)ncn2
197,IB04-2263,COc(cc1)ccc1Oc1cncnc1-c(ccc(OCc(c(F)ccc1)c1Cl)c1)c1O
198,Z250-1375,Cc(cc1)ccc1-c1csc(C(N2)=O)c1N=C2N(CCC1)CC1C(NCc(cccc1)c1F)=O
199,L928-0399,COc(cc1)cc(CNC(C(CCC2)CN2c2ncnc3c2oc2c3cccc2)=O)c1OC
200,S896-0388,Cc1nc(CCOCC2)c2c(N(CC2)CCC2C(NCc(ccc(F)c2)c2F)=O)n1
201,SB25-1064,CN(CCC1)c2c1ccc(NC(C(CC1)CCC(N=C(c(cc3)ccc3F)N3)=C1C3=O)=O)c2
202,S039-3679,CN(CC1)CCN1C(N1)=NC(CCN(Cc(cc(cc2)F)c2F)CC2)=C2C1=O
203,S039-3182,O=C1NC(N2CCOCC2)=NC2=C1CCN(Cc(cc(cc1)Cl)c1F)CC2
204,S039-3683,CN(CC1)CCN1C(N1)=NC(CCN(Cc(cc(cc2)Cl)c2F)CC2)=C2C1=O
205,S039-3665,CN(CC1)CCN1C(N1)=NC(CCN(Cc(ccc(F)c2)c2F)CC2)=C2C1=O
206,IB04-3808,CN(CCc1c23)Cc1c(N1CCOCC1)nc2sc(C(Nc(ccc(OC)c1)c1OC)=O)c3N
207,S896-0376,Cc1nc(CCOCC2)c2c(N(CC2)CCC2C(Nc2cc(OC)ccc2)=O)n1
208,L489-1903,Cc(ccc(F)c12)c2NC(CCN(CC(Nc(cc2)cc(OC)c2OC)=O)C2)=C2C1=O
209,L489-2047,CCOc(cc1)ccc1NC(CN(CC1)CC(C(c2c(cc3)F)=O)=C1Nc2c3F)=O
210,SB25-0977,CN(CCC1)c2c1ccc(NC(C(CC1)CCC(N=C(c3ccccc3)N3)=C1C3=O)=O)c2
211,Y020-3929,CC(Nc(cc1)ccc1N(C(CC1N(CC2)Cc3c2c(cc(cc2)F)c2[nH]3)=O)C1=O)=O
212,V021-1644,Cc1c(CN2Cc3c(N4CCOCC4)nc(N4CCN(C)CC4)nc3CC2)scc1
213,S896-0075,Cc1cc(N(CC2)CCN2c2nc(C)nc3c2CCOCC3)c(C)cc1
214,S039-1692,CN(C)C(N1)=NC(CCN(Cc(cc(cc2)F)c2F)CC2)=C2C1=O
215,IB06-3440,CCCc(nc1N2CCN(CC(Nc(ccc(OC)c3)c3OC)=O)CC2)c(CCC2)c2c1C#N
216,Y020-3914,CC(Nc(cc1)ccc1N(C(CC1N(CC2)Cc3c2c(cc(cc2)OC)c2[nH]3)=O)C1=O)=O
217,S964-0162,COC[C@@H](CN(C1)c(cc2)cc(C(F)(F)F)c2C#N)[C@H]1C(Nc1c(CCCC2)c2ccc1)=O
218,8610-0656,CCN(CC)c(c(F)c12)nc(F)c2N(Cc(c(F)ccc2)c2F)CCS1(=O)=O
219,S896-0156,COc(cc1)ccc1-c1nc(CCOCC2)c2c(N2CCCC2)n1
