[2023-10-02 23:37:40,768::train::INFO] Namespace(config='./configs/train.yml', device='cuda', logdir='./logs')
[2023-10-02 23:37:40,768::train::INFO] {'model': {'vn': 'vn', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'encoder': {'name': 'cftfm', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'edge_channels': 64, 'key_channels': 128, 'num_heads': 4, 'num_interactions': 4, 'cutoff': 10.0, 'knn': 48}, 'field': {'name': 'classifier', 'num_filters': 128, 'num_filters_vec': 32, 'edge_channels': 64, 'num_heads': 4, 'cutoff': 10.0, 'knn': 32}, 'position': {'num_filters': 128, 'n_component': 3}}, 'train': {'save': True, 'seed': 2021, 'use_apex': False, 'batch_size': 6, 'num_workers': 8, 'pin_memory': True, 'resume_train': False, 'ckpt_name': 'None', 'start_epoch': 'None', 'max_iters': 500000, 'val_freq': 5000, 'pos_noise_std': 0.1, 'max_grad_norm': 100.0, 'optimizer': {'type': 'adam', 'lr': 0.0002, 'weight_decay': 0, 'beta1': 0.99, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 8, 'min_lr': 1e-05}, 'transform': {'mask': {'type': 'mixed', 'min_ratio': 0.0, 'max_ratio': 1.1, 'min_num_masked': 1, 'min_num_unmasked': 0, 'p_random': 0.15, 'p_bfs': 0.6, 'p_invbfs': 0.25}, 'contrastive': {'num_real': 20, 'num_fake': 20, 'pos_real_std': 0.05, 'pos_fake_std': 2.0}, 'edgesampler': {'k': 8}}}, 'dataset': {'index_path': './data/crossdocked_pocket10/index.pkl', 'processed_path': './data/crossdock_data/crossdock_data_gds.lmdb', 'name2id_path': './data/crossdock_data/crossdock_gdsname2id.pt', 'split': './data/split_by_name.pt'}}
[2023-10-03 07:37:48,058::train::INFO] Training Epoch 7 | Average_Loss 3.01801 | Loss 4.540116 | Loss(Fron) 0.072354 | Loss(Pos) 3.395616 | Loss(Cls) 0.649065 | Loss(Edge) 0.036426 | Loss(Real) 0.335161 | Loss(Fake) 0.023474 | Loss(Surf) 0.028020  
[2023-10-03 07:37:50,344::train::INFO] Evaluate Epoch 7 | Average_Loss 2.72058 | Single Batch Loss 0.577991 | Loss(Fron) 0.092433 | Loss(Pos) -0.170764 | Loss(Cls) 0.520059 | Loss(Edge) 0.019085 | Loss(Real) 0.018508 | Loss(Fake) 0.098670 | Loss(Surf) 0.000000  
[2023-10-03 08:35:56,475::train::INFO] Training Epoch 8 | Average_Loss 3.00539 | Loss 4.581147 | Loss(Fron) 0.028191 | Loss(Pos) 3.509008 | Loss(Cls) 0.775405 | Loss(Edge) 0.080230 | Loss(Real) 0.031325 | Loss(Fake) 0.119009 | Loss(Surf) 0.037979  
[2023-10-03 08:35:58,639::train::INFO] Evaluate Epoch 8 | Average_Loss 3.18234 | Single Batch Loss 1.993556 | Loss(Fron) 0.084298 | Loss(Pos) 0.898519 | Loss(Cls) 0.806093 | Loss(Edge) 0.064553 | Loss(Real) 0.016479 | Loss(Fake) 0.123613 | Loss(Surf) 0.000000  
[2023-10-03 09:34:06,051::train::INFO] Training Epoch 9 | Average_Loss 3.00860 | Loss 2.294819 | Loss(Fron) 0.015858 | Loss(Pos) 0.968430 | Loss(Cls) 0.885474 | Loss(Edge) 0.111142 | Loss(Real) 0.168912 | Loss(Fake) 0.145002 | Loss(Surf) 0.000000  
[2023-10-03 09:34:08,150::train::INFO] Evaluate Epoch 9 | Average_Loss 3.76698 | Single Batch Loss 5.445849 | Loss(Fron) 0.062150 | Loss(Pos) 4.061399 | Loss(Cls) 0.981387 | Loss(Edge) 0.000160 | Loss(Real) 0.026896 | Loss(Fake) 0.284363 | Loss(Surf) 0.029494  
[2023-10-03 10:32:18,049::train::INFO] Training Epoch 10 | Average_Loss 3.07007 | Loss 3.157318 | Loss(Fron) 0.023928 | Loss(Pos) 2.162913 | Loss(Cls) 0.589393 | Loss(Edge) 0.036451 | Loss(Real) 0.089391 | Loss(Fake) 0.255242 | Loss(Surf) 0.000000  
[2023-10-03 10:32:20,145::train::INFO] Evaluate Epoch 10 | Average_Loss 3.72114 | Single Batch Loss 4.889735 | Loss(Fron) 0.206440 | Loss(Pos) 3.835407 | Loss(Cls) 0.772707 | Loss(Edge) 0.003994 | Loss(Real) 0.024907 | Loss(Fake) 0.012167 | Loss(Surf) 0.034114  
[2023-10-03 11:30:30,312::train::INFO] Training Epoch 11 | Average_Loss 3.09252 | Loss 2.333781 | Loss(Fron) 0.016559 | Loss(Pos) 1.230567 | Loss(Cls) 0.842750 | Loss(Edge) 0.058513 | Loss(Real) 0.055258 | Loss(Fake) 0.130133 | Loss(Surf) 0.000000  
[2023-10-03 11:30:32,486::train::INFO] Evaluate Epoch 11 | Average_Loss 3.61845 | Single Batch Loss 1.250993 | Loss(Fron) 0.019982 | Loss(Pos) 0.614501 | Loss(Cls) 0.553716 | Loss(Edge) 0.018438 | Loss(Real) 0.038158 | Loss(Fake) 0.006198 | Loss(Surf) 0.000000  
